Nomor_Mitra,ID_Posisi,Nama_Posisi,Nama_Mitra,Nama_Kegiatan,Kuota_Posisi,Lokasi_Bekerja,Tipe_Aktivitas,URL_Logo,Mulai_Periode,Berakhir_Periode,Mulai_Pendaftaran,Berakhir_Pendaftaran,SKS_Diberikan,Kode_Lokasi,ID_Mitra,Kegiatan_Bersertifikat
1076,342eaf56-803c-11ed-82a8-2615bc75a6a3,HR Compliance,Home Credit Indonesia,Home Credit Apprenticeship  Program (HAP) 3.0 ,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8471966c-6da5-47b7-9275-8de31d6c807b.png,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2023-01-02T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,ae9a3576-23cb-42c2-9885-4cb1a4141799,True
1077,252356c6-63c3-11ed-8ffa-4eaca8c1bf53,HR Digital,PFI Mega Life,PFI Mega Life Internship,3,Kota Jakarta Selatan,OFFLINE,,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2022-12-15T07:00:00+07:00,2023-01-27T07:00:00+07:00,20,016300,73b26f80-6308-4249-8738-cec24fc16f00,True
1078,d3d50d1c-8145-11ed-8834-ae9e72da6bb1,HRDPR - UX Researcher,Kompas Gramedia,Kompas Gramedia - Growth Center: Services Enhancement To Help People Be Their Best Version,4,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-26T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016000,c8bece01-8738-4a37-90f9-3d0302da1cd7,True
1079,2acc5fa6-8fd5-11ed-927c-7ef1c7c7ef0c,HR Enterprise Officer,Berau Coal,23. Sustainability Economic Program & Community Entrepreneurship,1,Kab. Berau,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-09T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,160300,ec0dd4db-c8de-4171-8079-46070738ce4a,True
1080,d1cddd71-7062-11ed-8312-feb214c74b66,HRGA,Minerva,MINERVA SERIES 2023: MSIB Experience Business Development ,4,Kota Yogyakarta,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ca3cb3e4-1274-4361-b887-798f780ebd68.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-27T07:00:00+07:00,20,046000,69aadbe1-6f45-46c1-99e1-414b73c54251,True
1081,7663b907-6589-11ed-9da9-9afb6f59ce88,HRGA Supervisor ,BUMA,Learning Management di Site Pertambangan Batubara,6,Kab. Berau,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ff38d1e5-8075-49b7-86af-d0095a4912cb.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,160300,d19a6aaa-7b05-44b3-8fee-7d32f5cadeeb,True
1082,18d83918-6a28-11ed-8014-f69d568c6c8e,HR-General Affair Officer,Garment Manufacturing,PAN 8 Sragen Internship Program (PSIP),3,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-21T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,030900,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True
1083,d6b9b86d-7ea0-11ed-99cd-aa76604f701e,HR Generalis ,Berau Coal,21 : HR Business Process Improvement,1,Kab. Berau,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-17T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,160300,ec0dd4db-c8de-4171-8079-46070738ce4a,True
1084,00561939-6fef-11ed-ab38-feb214c74b66,HR Generalist,YHC QuIP (Quality Internship Program),Improving Performance Skill Through Project Management,10,Batola dan Banjarmasin Kalimantan Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_36c92668-9a5e-4ef2-89e6-717e1c387010.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,054b69c6-e415-4e06-be7f-491f672a68b0,True
1085,6dcf5c98-661f-11ed-9da9-9afb6f59ce88,HR Generalist ,PT. Pancaprima Ekabrothers,PEOPLE EMPOWERMENT (Business & Supporting Process),3,PT. Pancaprima Ekabrothers,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_dbac24fc-4c9d-413e-9fc1-6ccbc143c474.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-18T07:00:00+07:00,20,,5fe53b94-170e-4e48-99d7-3e82a6f5c18d,True
1086,1353957d-695b-11ed-b4f9-023305eb73ef,HRIS ( Human Resource Information System),Metrodata Academy,Metrodata Academy Ecosystem ,2,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2022-01-13T07:00:00+07:00,2023-02-10T07:00:00+07:00,20,016200,88c462bc-fe40-410a-9d2a-5264c0f50950,True
1087,2aa8ccc1-875f-11ed-a318-82c188a7332d,HR - Learning and Development,Sinar Mas Mining,TechConnect HackStudent Program,8,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b34f72f2-4dfc-40ab-be1b-a56d7ff4ba93.png,2023-02-16T07:00:00+07:00,2023-06-26T07:00:00+07:00,2022-12-19T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,dede6cf1-9d1e-4be8-8592-e656925265a0,True
1088,8d5265d3-6958-11ed-a81d-eae0f83979ef,HR Officer,Metrodata Academy,Metrodata Academy Ecosystem ,6,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2022-01-13T07:00:00+07:00,2023-02-10T07:00:00+07:00,20,016200,88c462bc-fe40-410a-9d2a-5264c0f50950,True
