ID Posisi,Nama Posisi,Nama Mitra,Nama Kegiatan,Quota Posisi,Lokasi Bekerja,Tipe Aktivitas,URL Logo
eb0a924c-8d65-11ed-918e-fe53fd1fa495,Estate Database & Analysis Officer,PT Bumitama Gunajaya Agro,Officer Development Program,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png
9c96cee8-647d-11ed-8ffa-4eaca8c1bf53,Estimator Intern,Erajaya,Lets Grow with Erajaya,2,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png
6a7744f8-66e2-11ed-b864-9afb6f59ce88,E-tutorial Developer Intern,Trakindo,E-tutorial Procurement Process & e-Procurement ,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_36e9154a-8dee-4268-b8b2-5bc121e4121b.png
2b2d138e-81bf-11ed-8c99-9aeeab388a33,Event Organizer & Broadcasting,VOCASIA,Vocasia Internship Professional Edutech Program,5,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png
bcc4f443-6cb4-11ed-98a6-964ca1abcf1b,Facilitator Reviewer Internship,BCA,Facilitator Reviewer Internship,1,Kab. Bogor,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6c0a7c7b-8ff3-4214-8474-2872769e4063.jpg
392ca4f1-6f9a-11ed-9576-62d54cabf853,Facility Management System ,PT ISS Indonesia,Great ISS Internship Program (GETS Program),3,Kota Tangerang Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0f2ff0f5-9860-45ed-8d64-857e7d2125f7.png
d2300652-55a5-11ed-8e0a-3642855f7e03,Facility Planning & Development Intern,XL Axiata,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fa53cb75-1f5f-4bad-832b-4cf3dbbf28b5.jpg
57132bbe-6bc8-11ed-acfa-feb214c74b66,Fasilitator Pendamping Access to Market (A2M) - BaLiKu,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,10,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
129e25a1-6bc4-11ed-9526-12fe73fa6d13,Fasilitator Pendamping Access to Market (A2M) - Jawa Barat & Banten,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,13,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
f02de9ed-6bc4-11ed-acfa-feb214c74b66,Fasilitator Pendamping Access to Market (A2M) - Jawa Tengah & Yogya,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,15,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
f51eb862-6bc5-11ed-9b00-0278cb7f6574,Fasilitator Pendamping Access to Market (A2M) - Jawa Timur,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,12,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
caaea5c4-6bc6-11ed-9b00-0278cb7f6574,Fasilitator Pendamping Access to Market (A2M) - Kalimantan,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,5,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
92eccd7b-6bc7-11ed-9b00-0278cb7f6574,Fasilitator Pendamping Access to Market (A2M) - Sulawesi Selatan,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,5,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
31f7225a-6bc3-11ed-9526-12fe73fa6d13,Fasilitator Pendamping Access to Market (A2M) - Sumatera Bagian Selatan,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,15,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
4b92358f-6bc2-11ed-acfa-feb214c74b66,Fasilitator Pendamping Access to Market (A2M) - Sumatera bagian Tengah,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,15,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
ad576212-6bbe-11ed-9b00-0278cb7f6574,Fasilitator Pendamping Access to Market (A2M)  - Sumatera Bagian Utara,BTPN Syariah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,10,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
