id,name,activity_name,quotas
3c236d93-566b-11ed-b186-36a705b63a4f,Trans Hardware & Trans Living Merchandiser  Officer,Learning Management di Head Office,5
9731b7b0-6ff8-11ed-83fd-7e8ddab09462,UI/UX Design, Project-Based Learning Internship Bangbeli,4
c2265cae-706d-11ed-b6f6-62d54cabf853,UI / UX Designer,Vocasia Internship Professional Edutech Program,2
87bfdbbc-5e68-11ed-8147-9a530862f121,UI/UX Designer,"NITA, NISA, dan Digi Parking Mobile Apps. Development",1
38214a95-6fbd-11ed-83fd-7e8ddab09462,UI/UX Designer,Improving Performance Skill Through Project Management,10
e14903c0-6f97-11ed-9576-62d54cabf853,UI/UX Designer,Belajar Birdsama Bluebird,2
c4bd5f7e-705c-11ed-83e6-668d7502ff5d,UI/UX Designer ,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,2
bfcae731-6b27-11ed-a22e-c63f61abb566,UX Research,UX Research for Business Development,2
f680b82b-6ff7-11ed-a7a1-0278cb7f6574,UX Writer, Project-Based Learning Internship Bangbeli,2
a21d3195-6bd4-11ed-9b00-0278cb7f6574,Vendor Controller,Implementasi dan pengembangan dalam Objective and Key Results,2
59ea4d4c-654b-11ed-8642-0ec0e2c26b07,Vertical Brand Owner Intern ,Lets Grow with Erajaya,4
9b946303-6ed1-11ed-9cff-0278cb7f6574,Vertical Marketing Intern,Belajar Birdsama Bluebird,1
7f3d3e62-81bb-11ed-8c99-9aeeab388a33,Video Editor,Vocasia Internship Professional Edutech Program,3
fb6bf6c5-705e-11ed-8312-feb214c74b66,Video Editor and Videographer,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,6
fc778e6c-6fbd-11ed-ab38-feb214c74b66,Videographer,Improving Performance Skill Through Project Management,10
0ef80c73-6006-11ed-b4b5-baaa6764964c,Videographer Intern,Zenius Professionals Practice Program Angkatan 4,3
1aad9809-64e0-11ed-8ebb-320b4c7afbe7,Videographer Intern, Orbit 4 Indonesia Internship Program,2
05f8255e-68b7-11ed-ab03-d2f881693fc9,Warehouse Admin Intern,Lets Grow with Erajaya,5
b4341791-6973-11ed-b37a-5a2f049e0a05,Warehouse Material Officer,PAN 8 Sragen Internship Program (PSIP),4
4bd637d2-6a3b-11ed-98e1-a2c3ec1c6e84,Wealth Management System Project,Wealth Management System Project,3
e5d6b7aa-6c77-11ed-9c3c-feb214c74b66,Web and Application Developer,Web and Application Developer,37
e1086328-6fbb-11ed-a7a1-0278cb7f6574,Web Developer,Improving Performance Skill Through Project Management,10
8db7482a-6f9d-11ed-a7a1-0278cb7f6574,Workplace Management,Great ISS Internship Program (GETS Program),3
3058ed45-6f9b-11ed-83fd-7e8ddab09462,Workshop Quality & Productivity Control,Belajar Birdsama Bluebird,4
947ba8dc-5502-11ed-b209-b250481d78c3,Youth Segment Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),4
67b505b2-6b0c-11ed-8225-d61b0e2692e7, Testing Specialist - Custody & FA System,Custody & Fund Admin System,3
f52a4546-6b0c-11ed-a22e-c63f61abb566, Treasury Digital Interactive Communication Project Intern, Treasury Digital Interactive Communication,3
78574d97-6b09-11ed-a22e-c63f61abb566, Value and Culture Intern,Value and Culture Intern,3
