no_mitra,id_posisi,nama_posisi,nama_mitra,id_mitra,nama_kegiatan,kuota_posisi,lokasi_kerja,tipe_aktivitas,url_logo
1,db594c01-9170-11ed-89f0-56581bb5cdd9,-,Garment Manufacturing,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,PAN 8 Sragen Internship Program (PSIP),1,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png
2,b2806201-9170-11ed-9868-2aac6d703fc9,-,Garment Manufacturing,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,PAN 8 Sragen Internship Program (PSIP),1,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png
3,646376e9-962a-11ed-abf1-e61deb0742d3,1,Schoters,29817ab5-be74-4c42-a223-a04eceae0eef,Transformasi Start-Up Edutech Melalui Riset dan Inovasi,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a741a688-4eca-41f9-8099-40d6986d6253.png
4,6a7bbbab-7508-11ed-b2a2-1a198d2f4c14,2D/3D Animator Intern,BNI,1434cd57-6295-441a-898a-7294119a96d7,BNI Digital Talent Thematic Internship,13,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_642f3ae3-5162-4f40-aba6-e0c819df5f56.jpg
5,96684230-7093-11ed-8312-feb214c74b66,3D Artist,Telkom,95c5cbf2-68be-4146-9fef-f891db857f3b,VR Lab Development		,1,Kota Yogyakarta,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fd204644-5cb0-4ff1-a187-0becd4016be4.png
6,fef8450f-7092-11ed-8ea0-7e8ddab09462,3D Artist ,Soca AI,f6940620-cc8b-4134-8290-7f511d8cc1a6,AI-Powered Immersive Learning,10,Kota Bandung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93ec7e4d-0083-4e54-994c-f8a406cd7f3f.jpg
7,487aca21-6f99-11ed-83fd-7e8ddab09462,3D Asset Designer,Dankos,e3c02360-8ec1-4783-9790-80afa6cf1114,Extended Reality Learning Module Development Program,10,Kab. Bekasi,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_caf860b4-53f3-4eff-addc-dcc5b198740d.jpg
8,57d58014-709b-11ed-b6f6-62d54cabf853,3D Designer,Synapsis.id,b8aaf5af-e69c-4434-89b5-dc2dbbdf7a15,Learning Practice Program ,4,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c197900c-4362-422d-8cef-5c2f03d7ddb6.png
9,ddf4a4d4-6177-11ed-aaab-4a119f027d25,3D Designer in Developing Digital Transformation and Industry 4.0,STECHOQ,ba16e287-a822-457d-9d45-5b2e5a47af1f,Developing Digital Transformation and Industry 4.0 through 3D Designing,25,Kab. Sleman,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png
10,ad58cd80-7f86-11ed-bcbb-96627b1c4bb1,3PL Ops Analyst Intern,Lazada,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,Program Magang Lazada Logistics Indonesia [Cimanggis],3,Kota Depok,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg
11,089c647b-8083-11ed-91e0-ae9e72da6bb1,ACAD - Art Collection Data Administrator - Koleksi Keramik & Benda Kayu (Jakarta),Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",4,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
12,6f586748-8083-11ed-be97-9aeeab388a33,ACAD - Article Data Administrator (Bali),Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
13,de1c7b72-8081-11ed-bf55-e28bf6b6d14d,"ACAD - Asset and Art Data Administrator - Koleksi Lukisan, Wayang, dan Buku (Jakarta)",Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
14,20a59f2d-8082-11ed-82a8-2615bc75a6a3,"ACAD - Asset and Art Data Administrator - Koleksi Lukisan, Wayang, dan Buku (Yogyakarta)",Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",4,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
15,7dcb9616-6c65-11ed-8441-22d0c8df9d48,Academic Assistant,Schoters,29817ab5-be74-4c42-a223-a04eceae0eef,Transformasi Start-Up Edutech Melalui Riset dan Inovasi,5,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a741a688-4eca-41f9-8099-40d6986d6253.png
16,7659b95a-6429-11ed-b5cc-0a223dcf0f66,Academic Officers Intern,Zenius,261f4d66-aa98-41a5-a213-a079764411a7,Zenius Professionals Practice Program Angkatan 4,6,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344946d7-f9c2-4c1e-8af0-646114c7d8ad.png
17,27ed0d39-64b7-11ed-8e15-4eaca8c1bf53,Academy Division,The Farmhill,f0e8728d-6dc7-4cf5-84fb-6d1a47950232,Youth Agrigator Internship Program 2,7,Kota Semarang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0ccd522c-aaf8-4e7f-b5c0-3f2c9b3f09b0.png
18,f5c3d0db-719b-11ed-a27c-eee683b66c25,Account Executive,Suitmedia,8bbe4d2b-fcb8-4bc3-a414-4393f5cb0d1b,Suitmedia National Internship Program 2023,6,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a81e2a5b-5e10-4a12-9561-3c627723e77f.png
19,ca4a9d53-6719-11ed-ab03-d2f881693fc9,Accounting,PFI Mega Life,73b26f80-6308-4249-8738-cec24fc16f00,PFI Mega Life Internship,2,Kota Jakarta Selatan,OFFLINE,
20,7ec1fe92-70b6-11ed-9540-86f9589d528b,Accounting,ELZATTA DAUKY,5fb33177-7656-4eac-b184-9a187592a4e4,Peran Gen Z untuk Indonesia,1,"Kec. Bandung Kulon, Kota Bandung, Jawa Barat",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4582b8f-c088-4d57-95d8-9a370f5c9224.png
21,0eb45da6-64d2-11ed-b74d-2af064b3727d,"Accounting, Finance & Tax Officer",The Farmhill,f0e8728d-6dc7-4cf5-84fb-6d1a47950232,Youth Agrigator Internship Program 2,4,Kota Semarang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0ccd522c-aaf8-4e7f-b5c0-3f2c9b3f09b0.png
22,3f356ec2-6fb0-11ed-a7a1-0278cb7f6574,Accounting Improvement,PT ISS Indonesia,0aed31ee-a13d-4467-b189-885f247aa6c0,Great ISS Internship Program (GETS Program),2,Kota Tangerang Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0f2ff0f5-9860-45ed-8d64-857e7d2125f7.png
23,99c6bc1f-5c0d-11ed-8806-7a77835150ba,Accounting Intern,Nusantara Infrastructure,33c404bb-b227-4a65-85dc-9fe9cf434e1e,[MMN-JTSE] Pengembangan Bisnis Perusahaan melalui Optimalisasi Sumber Daya dan Analisa Peluang Improvement,1,Kota Makassar,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_38539944-f328-4d58-bef3-1d8a97f607e4.jpg
24,8013db8a-8039-11ed-be97-9aeeab388a33,Accounting Intern,Home Credit Indonesia,ae9a3576-23cb-42c2-9885-4cb1a4141799,Home Credit Apprenticeship  Program (HAP) 3.0 ,4,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8471966c-6da5-47b7-9275-8de31d6c807b.png
25,c53f879e-6a30-11ed-8ebe-a6bfdab34a31,Accounting Officer,PT Bumitama Gunajaya Agro,8816b5f5-7f39-459c-ba0c-86996423c5e5,Officer Development Program,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png
26,02aaaa53-60b4-11ed-aaab-4a119f027d25,Accounting Officer - Jakarta (Head Office),ASSA,631c1888-6d99-43db-bfff-086dafc150c3,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,2,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png
27,a901972d-54d3-11ed-a443-0a3963f6cf56,Accounting & Tax Intern,Nusantara Infrastructure,33c404bb-b227-4a65-85dc-9fe9cf434e1e,Nusantara All Division ,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_38539944-f328-4d58-bef3-1d8a97f607e4.jpg
28,381b0795-60ba-11ed-aaab-4a119f027d25,Account Payable Officer - Jakarta (Head Office),ASSA,631c1888-6d99-43db-bfff-086dafc150c3,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png
29,add98a70-7080-11ed-83e6-668d7502ff5d,Account Representative Khusus/Marketing,BPJS Ketenagakerjaan,e7e7caef-898d-4fd8-87fe-c4ae72ae5f00,Program Magang BPJS Ketenagakerjaan,29,Kantor Pusat BPJS Ketenagakerjaan dan Kantor Cabang BPJS Ketenagakerjaan Seluruh Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e1609101-99d7-4a06-98b3-ef4bbef48870.png
30,8d4f95fa-8084-11ed-b375-2603a0457f29,ACPD - Bentara Relations - Partnership (Bali),Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",1,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
31,171eda48-8084-11ed-91e0-ae9e72da6bb1,ACPD - Bentara Relations - Partnership (Jakarta),Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",1,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
32,542ef47e-8084-11ed-91e0-ae9e72da6bb1,ACPD - Bentara Relations - Partnership (Yogyakarta),Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",1,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
33,12152496-8085-11ed-bcd8-aa76604f701e,ACPD - Social Media Specialist (Yogyakarta),Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
34,2d70b593-6f9f-11ed-ab38-feb214c74b66,Acquisition Support Staff,Surya Citra Media - EMTEK Group,b409663d-e067-46e0-81d9-eb4fff33f45f,SIP (SCM Internship Program),5,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4c560d1a-0e74-4525-9d9c-4feb95a08b71.png
